nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
ASOCIACIÓN DEPORTIVA Y CULTURAL SARMIENTO SAN MARTÍN (A.D.Y.C.SA),CLUB DEPORTIVO,3.0671066002E10,VILLA PARANACITO,ISLAS DE IBICUY,1.11553416656E11,3.446639436E9,club.adycsabrazolargo@gmail.com,ARROYO BRAZO LARGO,S/N,,,,,Club Dep y Cultural Sarmiento San Martin,Fútbol,SIN DATOS,SIN DATOS,-33.77401,-58.60718,"Cancha de Fútbol, SUM"
CLUB SOCIAL Y DEPORTIVO FLUVIAL,CLUB DEPORTIVO,3.06710963E10,IBICUY,ISLAS DE IBICUY,3.446589117E9,3.446649181E9,fluvial1951@outlook.es,BV. 17 DE OCTUBRE,1060.0,,,,@_clubfluvial,https://www.facebook.com/ClubSocialYDeportivoFluvial/?locale=es_LA,"Voley, Tenis, Fútbol, Bochas",NO,"ACCESO ADECUADO, ANCHO DE PASILLOS",-33.7451469375084,-59.1600207181023,"Cancha Techada, Cancha de Fútbol, cancha de bochas, Pileta Descubierta"
CLUB SOCIAL Y DEPORTIVO TRACCION,CLUB DEPORTIVO,3.0671061671E10,IBICUY,ISLAS DE IBICUY,,,,ALMAFUERTE,134.0,,,,,https://www.facebook.com/profile.php?id=61560060047840#,"Fútbol, Bochas, Voley",SI,"ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, PUERTAS ACCESIBLES, ANCHO DE PASILLOS, ESCALERAS ACCESIBLES",-33.74342,-59.1579,"cancha de bochas, Cancha Techada, Cancha de Fútbol"
CLUB ATLÉTICO JUVENTUD UNIDA,CLUB DEPORTIVO,3.0717209849E10,IBICUY,ISLAS DE IBICUY,,,,CALLE LIBERTAD E HIPOLITO RIVERO,,,,,,,Fútbol,SIN DATOS,SIN DATOS,-33.74102,-59.16137,
POLIDEPORTIVO MUNICIPAL DE IBICUY,POLIDEPORTIVO MUNICIPAL,SIN CUIT 018,IBICUY,ISLAS DE IBICUY,3.44658749E9,,ibicuydeporte@gmail.com,,,,,https://ibicuy.gob.ar/,https://www.instagram.com/municipiodeibicuy/?hl=es-la,https://www.facebook.com/municipalidad.ibicuyof/,"Fútbol, Voley, Básquet, Atletismo, Bochas",SI,"ESTACIONAMIENTOS ACCESIBLES, ACCESO ADECUADO, ANCHO DE PASILLOS",-33.73993,-59.16105,"Cancha de Fútbol, Cancha Techada, cancha de basquet, cancha de bochas, pista de atletismo, Cajon de arena"
CLUB SOCIAL Y DEPORTIVO ISLEÑOS INDEPENDIENTES,CLUB DEPORTIVO,3.0671055469E10,VILLA PARANACITO,ISLAS DE IBICUY,3.446631618E9,3.446664114E9,csydii1943@gmail.com,AVENIDA ENTRE RÍOS Y FRANCISCO RAMIREZ,744.0,,,,@csydii1943,https://www.facebook.com/CSYDIIOFICIAL/?locale=es_LA,"Fútbol, Hockey césped, Artes Marciales/deportes de contacto, Náuticos",SIN DATOS,SIN DATOS,-33.71522,-58.6635,"Cancha de Fútbol, Cancha Techada, Otros, cancha de padel"
CLUB ATLETICO QUILMES,CLUB DEPORTIVO,3.0708970111E10,GUALEGUAY,GUALEGUAY,3.444453727E9,3.444517675E9,monchoare@gmail.com,BULEVAR SAN JUAN Y SAN JOSÉ DE FELICIANO,S/N,,,,@clubatleticoquilmesgualeguay,https://www.facebook.com/ClubQuilmesGualeguay/?locale=es_LA,Fútbol,NO,NINGUNA,-33.15801,-59.32101,Cancha de Fútbol
CLUB NAUTICO Y PESCA GUALEGUAY,CLUB DEPORTIVO,3.0670963671E10,GUALEGUAY,GUALEGUAY,3.444576207E9,3.444620095E9,clubnauticogualeguay@gmail.com,PARQUE INTENDENTE PEZUTTI,0.0,,,,@clubnauticogualeguay,https://www.facebook.com/p/Club-Nautico-Gualeguay-100057594252218/,"Náuticos, Tenis, Natación",SIN DATOS,SIN DATOS,-33.15665,-59.29346,"Otros, Pileta Descubierta, cancha de tenis, SUM"
CANCHA MUNICIPAL DE HOCKEY DE GUALEGUAY,POLIDEPORTIVO MUNICIPAL,SIN CUIT 013,GUALEGUAY,GUALEGUAY,,,,,,,,https://municipalidad.gualeguay.gob.ar/,,https://www.facebook.com/municipalidaddegualeguay/posts/estadio-municipal-de-hockey-avanza-la-construcci%C3%B3n-de-ba%C3%B1os-y-vestuariosinaugura/2379102359084294/?locale=es_LA,Hockey césped,SIN DATOS,SIN DATOS,-33.15573,-59.30088,"Cancha de Hockey, Cancha hockey cesped"
CLUB DE PESCA MARTIN PESCADOR,CLUB DEPORTIVO,3.0707084134E10,GUALEGUAY,GUALEGUAY,3.444439793E9,3.444625765E9,,PARQUE INT PEZZUTTI,0.0,,,,@clubmartinpescador,https://www.facebook.com/clubmartinpescador/,"Bochas, Tenis, Pesca",SIN DATOS,SIN DATOS,-33.15422,-59.29741,"SUM, Otros, cancha de tenis, cancha de bochas"
