nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,estrategicos,autoridad_a_cargo,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,cant_de_deportistas,deporte_adaptado,deportistas_con_discapacidad,infraestructura_adaptada_para_accesibilidad,latitud,longitud,marcado_en_mapa_no_tildar_ni_destildar,tipo_de_sede,tipo_de_espacios_deportivos,estado_general_muy_buena_en_optimas_condiciones_buena_requiere_mantenimiento_menor_regular_necesita_mejoras_importantes_mala_en_estado_critico,posibles_mejoras,observaciones
CLUB ATLETICO URQUIZA,CLUB DEPORTIVO,3.0670953714E10,GUALEGUAY,GUALEGUAY,0,NA,3.444425383E9,3.444503197E9,clubatleticourquiza@gmail.com,GRAL. PANCHO RAMIREZ,273.0,NA,NA,NA,@clubatleticourquizaoficial,https://www.facebook.com/clubatleticourquiza.cau/?locale=es_LA,"Fútbol, Hockey césped",NA,SI,SI,"PUERTAS ACCESIBLES, ANCHO DE PASILLOS, SANITARIOS ACCESIBLES",-33.1524096142426,-59.3173641269823,TRUE,NA,"Cancha de Fútbol, Cancha de Hockey, Cancha hockey cesped",BUENO,NA,"Se ve un club muy antiguo por su sede. Cancha de futbol en -33.1587, -59.31978"
CANCHA MUNICIPAL DE HOCKEY DE GUALEGUAY,POLIDEPORTIVO MUNICIPAL,SIN CUIT 013,GUALEGUAY,GUALEGUAY,0,Dora Bogdan,NA,NA,NA,NA,NA,NA,NA,https://municipalidad.gualeguay.gob.ar/,NA,https://www.facebook.com/municipalidaddegualeguay/posts/estadio-municipal-de-hockey-avanza-la-construcci%C3%B3n-de-ba%C3%B1os-y-vestuariosinaugura/2379102359084294/?locale=es_LA,Hockey césped,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.15573,-59.30088,TRUE,NA,"Cancha de Hockey, Cancha hockey cesped",BUENO,Tribunas,"Cancha sintética de arena con sanitarios, vestuarios y bancos de suplentes."
CLUB ATLETICO SAN LORENZO,CLUB DEPORTIVO,3.0710759479E10,GUALEGUAY,GUALEGUAY,0,NA,3.444424838E9,3.444624305E9,casl_gualeguay@hotmail.com,CARMEN GADEA,15.0,NA,NA,NA,@clubatleticosanlorenzo.guay,https://www.facebook.com/p/Club-Atl%C3%A9tico-San-Lorenzo-Gualeguay-100063778253158/,"Hockey césped, Fútbol, Ciclismo, Artes Marciales/deportes de contacto",NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.1465,-59.30875,TRUE,NA,"Cancha de Fútbol, Cancha Techada, Cancha de Hockey, Otros, SUM, Cancha hockey cesped",MALO,NA,"Club aparentemente muy antiguo.
Predio deportivo ubicado en -33.14248785827457, -59.35079235792767"
CLUB DE PELOTA GUALEGUAY,CLUB DEPORTIVO,3.0710893361E10,GUALEGUAY,GUALEGUAY,0,NA,3.444424212E9,3.444628691E9,hfabianmoreno@hotmail.com,ALARCÓN MUÑÍZ,249.0,NA,NA,NA,@clubpelotagualeguay,https://www.facebook.com/clubpelotagualeguay/?locale=es_LA,Pelota paleta,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.14359,-59.31617,TRUE,NA,"cancha de pelota, SUM",MUY BUENO,NA,"Frontón Club ubicado en -33.129833927030305, -59.32286739313198"
ASOCIACIÓN DEPORTIVA Y CULTURAL SARMIENTO SAN MARTÍN (A.D.Y.C.SA),CLUB DEPORTIVO,3.0671066002E10,VILLA PARANACITO,ISLAS DE IBICUY,0,NA,1.11553416656E11,3.446639436E9,club.adycsabrazolargo@gmail.com,ARROYO BRAZO LARGO,S/N,NA,NA,NA,NA,Club Dep y Cultural Sarmiento San Martin,Fútbol,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.77401,-58.60718,TRUE,NA,"Cancha de Fútbol, SUM",MALO,NA,"Hay juegos recreativos, juegos de mesa."
LA OLLA SOFTBOL CLUB,CLUB DEPORTIVO,3.0714366242E10,GUALEGUAY,GUALEGUAY,0,NA,3.44442402E9,3.44458081E9,deportesgualeguay@gmail.com,COLÓN,271.0,NA,NA,NA,@laollasoftbol,https://www.facebook.com/LaOllaSoftbol,Softbol,NA,NO,SIN DATOS,NINGUNA,-33.1514396994314,-59.294628119991,TRUE,NA,Otros,BUENO,Tribunas,"Cancha de sofbol y estuvieron en obras pero no hay muchas fotos. https://maps.app.goo.gl/FBkkK12aMCG6qEbc6 en este link hay màs fotos.
Hay registro de asamblea en 2017, en ese momento era Sergio R. Bulo, presidente y Gisela P. Alvarez, secretaria"
CLUB ATLÉTICO JUVENTUD Y FERROCARRIL UNIDOS,CLUB DEPORTIVO,3.0710235488E10,ENRIQUE CARBÓ,GUALEGUAYCHÚ,0,NA,1.166881515E9,3.444440117E9,artu_romero@hotmail.com,SAN MARTIN,69.0,NA,NA,NA,@cjfucarbo,Club Unidos Carbo,Fútbol,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.1492,-59.21485,TRUE,NA,Cancha de Fútbol,BUENO,NA,"Cuenta con Sanitarios y vestuarios en el predio.
También se realizan eventos gauchos"
CLUB RECREATIVO Y DEPORTIVO FERROVIARIO,CLUB DEPORTIVO,3.0709692972E10,GUALEGUAY,GUALEGUAY,0,NA,3.444463001E9,3.444441344E9,rugualeguay@arnetbiz.com.ar,BELGRANO,238.0,NA,NA,NA,NA,NA,OTROS,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.14894,-59.31687,TRUE,NA,SUM,REGULAR,NA,"No se encuentran redes sociales. Es más bien un club social, si practican deportes lo harán en otras sedes pero no en la del club."
AERO CLUB GUALEGUAY,CLUB DEPORTIVO,3.0513787789E10,GUALEGUAY,GUALEGUAY,0,NA,3.444446991E9,3.444446991E9,aeroclubgualeguay@gmail.com,RUTA PROVINCIAL Nº 11 - KM 210 - PRIMER DISTRITO,KM 210,NA,NA,NA,@aeroclubgualeguay,aero club gualeguay,Aviación,NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.10222,-59.37388,TRUE,NA,"Otros, Pileta Descubierta",BUENO,NA,La pileta mide 20m. En abril hicieron mantenimiento del Club. Tienen camping.
CLUB SOCIAL Y DEPORTIVO FLUVIAL,CLUB DEPORTIVO,3.06710963E10,IBICUY,ISLAS DE IBICUY,0,Martin Cornejo Reitou,3.446589117E9,3.446649181E9,fluvial1951@outlook.es,BV. 17 DE OCTUBRE,1060.0,NA,NA,NA,@_clubfluvial,https://www.facebook.com/ClubSocialYDeportivoFluvial/?locale=es_LA,"Voley, Tenis, Fútbol, Bochas",NA,NO,SI,"ACCESO ADECUADO, ANCHO DE PASILLOS",-33.7451469375084,-59.1600207181023,TRUE,NA,"Cancha Techada, Cancha de Fútbol, cancha de bochas, Pileta Descubierta",BUENO,NA,"Cuenta con pileta de 25m y cancha de futbol 5.
Última asamblea realizada el 28 de abril de 2023. Martin Cornejo Reitou, presidente; Maira J.M. Butta, secretaria. Club Fluvial, recupero su personería jurídica, el mas grande y antiguo, junto al Club Tracción, son los más destacados, ambos tienen como actividad e instalaciones de bochas. El Fluvial tiene cancha de bochas pero sin remodelación."
CLUB ATLETICO GUALEGUAY CENTRAL,CLUB DEPORTIVO,3.0543111291E10,GUALEGUAY,GUALEGUAY,0,NA,3.444467421E9,3.444634209E9,gualeguaycentral@hotmail.com,BELGRANO,834.0,NA,NA,NA,@gualeguaycentral,https://www.facebook.com/ClubGualeguayCentral/?locale=es_LA,"Fútbol, Rugby, Patinaje artístico, Tenis, Natación, Gimnasia Artística",NA,SI,SI,NINGUNA,-33.14976,-59.32647,TRUE,NA,"Cancha de Fútbol, Pileta Techada, Cancha Techada, Cancha de Rugby, Otros, cancha de tenis, cancha de padel, Cajon de arena",BUENO,NA,"Hicieron obras de zanjeo, entubado, nivelación en la entrada principal.
Poseen cancha de beach volley"
CLUB ATLETICO QUILMES,CLUB DEPORTIVO,3.0708970111E10,GUALEGUAY,GUALEGUAY,0,NA,3.444453727E9,3.444517675E9,monchoare@gmail.com,BULEVAR SAN JUAN Y SAN JOSÉ DE FELICIANO,S/N,NA,NA,NA,@clubatleticoquilmesgualeguay,https://www.facebook.com/ClubQuilmesGualeguay/?locale=es_LA,Fútbol,NA,NO,NO,NINGUNA,-33.15801,-59.32101,TRUE,NA,Cancha de Fútbol,REGULAR,NA,NA
TIRO FEDERAL ARGENTINO BRIGADIER GENERAL JUSTO JOSE DE URQUIZA,CLUB DEPORTIVO,3.0714704911E10,GUALEGUAY,GUALEGUAY,0,NA,3.444444192E9,3.444583221E9,seba_benedetti@hotmail.com,CONTINUACION PELLEGRINI,S/N,NA,NA,tirofederalgualeguay.com.ar/,NA,Tiro Federal Gualeguay,"Tiro con Arco, tiro deportivo",NA,SIN DATOS,SIN DATOS,SIN DATOS,-33.14618,-59.3008,TRUE,NA,Otros,BUENO,NA,"Fundado en 1896
Hay arqueria, tiro, tiro deportivo.
Cuentan con una pedana neumática indoor"
